1,"Exports of a wide range of Canadian goods are expected to benefit, including aircraft, medium and heavy trucks, and specialized machinery and equipment."
0,"Additionally, the rate of change in core food prices has eased markedly, owing to such factors as increased competition in the retail food sector."
1,"Beyond 2017, GDP growth is forecast to broaden further across demand categories."
1,Export volumes grew briskly in the first half of 1998 but eased from the vigorous pace of 1997.
0,"In response to reduced prospects for growth, central banks in many emerging-market economies are reversing previous policy tightening and lowering policy interest rates."
1,"Overall, the global economy is projected to grow by 2.8 per cent in 2013 and accelerate to 3.4 per cent in 2014 and 3.6 per cent in 2015."
0,"Following their sharp slide in the second half of 2014, the benchmark oil prices that are relevant for the Canadian economy have been quite volatile, fluctuating at or below levels assumed in the January Report."
1,"As a result, the growth outlook for 2017 is now above 2 per cent."
1,"This is in part because the price increases in the sectors responsible for the pickup are currently above their historical averages and tend to exhibit low inflation persistence, suggesting that they will subside quickly going forward."
0,"In this context, the lack of agreement on a production quota by the Organization of the Petroleum Exporting Countries (OPEC) at its December meeting triggered further price declines, and it now looks less likely that additional Iranian oil supply will be offset by reductions from other OPEC members."
0,"However, the rate of increase in real GDP is expected to ease as a result of the international economic slowdown and the fallout from financial market nervousness."
0,"On balance, the full range of indicators suggests that the Bank's conventional measure of capacity output has underestimated the amount of capacity in the Canadian economy."
1,"If gasoline prices were to remain elevated relative to oil prices, total CPI inflation would also be higher than in the base case."
0,"Estimates of losses from exposure to U.S. mortgage and structured credits have increased, and problems in these markets have spread to other credit markets."
0,"After experiencing a considerable buildup of stocks early this year, retailers and wholesalers slashed their rates of inventory accumulation in the second quarter."
0,The downward pressures on import prices arising from declining world prices for many goods and from a rising Canadian dollar were also stronger than expected.
1,Firms surveyed for the Bank's latest Business Outlook Survey point to improvements in the U.S. economic outlook and foreign orders and to the benefits of their recent investments in bolstering their ability to export.
1,These assumptions are that there will be no further major escalation of terrorism and that confidence will recover to normal levels in the second half of 2002.
0,"Sales of existing homes have fallen, partly because of measures taken by federal authorities."
0,"It is unclear, for example, whether the large fiscal and current account imbalances in many major economies will be resolved in a way that maintains growth."
0,"Estimates from the Bank's two measures of the output gap (the structural and statistical approaches) point to a notable widening during the first half of 2015, which is persisting in the second half."
0,"On the one hand, the adverse developments in Asia, particularly in Japan, were increasingly weighing on the Canadian economy."
0,"GDP growth is projected to be around 1 1/2 per cent in 2018, and to moderate significantly by 2020 in the wake of a planned 2019 hike in the value-added tax."
1,The projection for economic activity through 2016 and 2017 has been revised up.
1,"Household spending is also projected to grow at a healthy rate, although the pace of expansion will be moderated somewhat by the withdrawal of monetary stimulus."
0,"However, the factors at work also suggest that slack in the economy will not be taken up in any significant way until the second half of the year."
1,"During the past six months, the Canadian economy has continued to expand briskly, outstripping expectations."
1,The early summer peak in yields reflected both the perceived beginning of the tightening phase in the U.S. interest rate cycle and growing optimism about the strength of the U.S. and global recoveries.
1,"U.S. financial conditions nevertheless remain supportive of growth, with corporate credit yields near record-low levels despite the rise in Treasuries."
1,"The increased demand was again concentrated in components such as machinery and equipment and consumer purchases of motor vehicles, most of which tend to be imported."
0,"However, weak growth in both hours worked and wages, together with no improvement in the Bank's labour market indicator over the past year, suggests that the workforce remains underutilized."
0,"Nonetheless, low oil prices in comparison with mid-2014 will result in a persistently softer level of activity in oil-exporting economies."
0,"Global economic uncertainty remains important, however, especially over the near term."
1,Sectoral analysis also suggests that conditions for investment in the non-resource sector have generally improved since 2014.
0,A notable increase in global protectionism remains the most important source of uncertainty facing the Canadian economy.
0,"Growth in 2011, however, is now projected to be somewhat weaker."
0,"By itself, this drop would reduce overall business investment by about 10 per cent."
1,"In addition, if producers are able to find further cost savings or if US oil firms take advantage of the recent firming in prices to hedge future production, the rebalancing of the market may be more protracted than expected."
1,"The output gap is now expected to close in the first half of 2018, somewhat sooner than projected in January."
0,"Domestic demand is not expected to become a significant driver of economic growth until late 2014, when the negative effects of tight lending conditions and fiscal consolidation begin to dissipate."
1,"This implies that the economy would be in slight excess demand in 2006, before returning to potential output by the end of the projection period."
0,"Construction activity in the United States has remained weak, and house prices have fallen further."
1,"Periodicals > SLOS 2011Q1), greater competition among lending institutions, and from capital markets, together with a more favourable economic outlook, has led to a further loosening of lending conditions for a wider range of borrowers."
